project_id,project_progress,task_completion_rate,blocked_task_ratio,overdue_task_ratio,requirement_completion_rate,milestone_completion_rate,open_issue_count,critical_issue_count,api_test_failure_rate,avg_api_response_time_ms,technical_review_score,days_remaining,development_velocity,risk_level
DP-0001,30.76,40.34,8.4,4.19,38.11,64.09,10,0,7.97,80.0,97.13,16,3.12,MEDIUM
DP-0002,51.6,60.87,9.21,3.89,39.95,43.97,4,0,5.77,201.19,86.43,15,3.81,LOW
DP-0003,63.05,56.98,0.37,6.95,65.09,69.55,3,0,0.0,170.2,97.86,17,4.75,LOW
DP-0004,42.44,28.51,0.0,9.3,52.29,51.82,2,1,0.0,223.42,98.73,22,3.54,LOW
DP-0005,53.14,56.24,8.36,1.8,59.84,52.64,3,2,5.69,233.81,79.98,45,4.53,MEDIUM
DP-0006,45.48,53.1,5.26,0.0,38.04,57.35,4,0,5.03,205.16,83.33,30,4.72,MEDIUM
DP-0007,61.27,68.33,8.03,9.32,59.45,70.81,3,0,1.52,125.36,80.17,14,5.38,LOW
DP-0008,54.59,41.51,3.02,16.88,55.76,27.96,2,0,8.57,369.21,76.08,36,3.56,MEDIUM
DP-0009,65.63,40.37,0.0,0.0,62.7,60.92,5,0,8.34,263.1,90.1,19,3.39,LOW
DP-0010,38.97,42.69,10.87,11.19,44.68,52.14,6,0,10.47,314.2,78.61,25,3.47,HIGH
DP-0011,42.55,34.93,3.03,4.79,46.86,25.84,4,0,6.99,159.87,69.2,27,3.33,MEDIUM
DP-0012,37.67,33.05,15.48,16.12,39.58,29.43,8,1,10.25,303.26,78.16,19,2.64,MEDIUM
DP-0013,49.78,43.03,9.35,6.69,43.05,33.7,4,0,1.42,259.64,86.97,29,2.09,MEDIUM
DP-0014,49.12,42.35,0.0,2.96,90.37,29.67,3,1,7.77,312.38,69.56,12,2.79,MEDIUM
DP-0015,96.81,98.89,0.0,15.88,85.99,82.63,1,0,2.5,281.58,64.69,6,7.67,LOW
DP-0016,72.12,66.89,6.61,7.06,82.09,58.02,3,0,1.6,230.82,87.96,19,5.19,LOW
DP-0017,30.93,12.47,7.93,4.85,32.85,41.09,5,0,8.2,183.21,80.39,38,2.09,MEDIUM
DP-0018,68.73,86.49,0.0,8.12,93.42,49.63,2,0,0.0,157.24,85.64,18,5.85,LOW
DP-0019,72.87,58.99,0.0,0.0,50.43,65.32,4,1,11.91,266.37,100.0,14,3.92,MEDIUM
DP-0020,42.12,36.37,6.6,9.24,55.68,54.68,2,0,9.58,172.06,93.28,53,2.08,MEDIUM
DP-0021,48.56,37.58,1.65,0.0,49.67,48.98,3,0,11.81,139.58,83.26,39,3.04,LOW
DP-0022,75.52,81.09,9.02,9.97,87.95,100.0,1,0,11.31,274.54,83.94,31,5.9,LOW
DP-0023,48.25,71.43,1.74,7.06,56.19,50.92,1,0,10.63,192.76,80.41,72,5.55,LOW
DP-0024,78.11,90.7,1.97,0.0,57.46,82.45,1,0,12.2,248.78,89.08,19,4.58,LOW
DP-0025,70.48,79.11,5.8,5.36,64.09,93.21,2,1,6.38,220.46,88.71,19,5.35,LOW
DP-0026,38.84,27.66,18.48,7.39,19.52,37.6,5,0,15.06,286.81,73.74,21,2.14,MEDIUM
DP-0027,51.88,26.3,5.48,6.16,53.38,51.36,4,1,5.35,249.66,78.62,38,2.15,HIGH
DP-0028,39.01,39.11,15.08,9.88,33.41,43.59,4,1,13.88,243.3,75.32,39,2.37,HIGH
DP-0029,46.45,59.63,0.0,5.08,67.7,35.8,5,0,17.62,220.31,93.89,14,5.34,MEDIUM
DP-0030,55.34,48.31,0.59,9.98,33.87,34.98,2,0,14.34,84.56,87.97,81,3.73,LOW
DP-0031,32.86,32.66,9.17,4.57,35.77,22.19,5,1,18.54,193.01,87.89,34,2.49,HIGH
DP-0032,78.79,85.69,3.84,0.0,53.04,94.23,2,1,9.93,94.48,73.72,25,5.81,LOW
DP-0033,74.28,75.51,8.42,9.11,66.48,75.91,2,1,0.0,154.52,77.98,22,5.14,MEDIUM
DP-0034,64.76,69.41,0.0,9.71,68.62,64.34,2,0,12.31,167.96,79.77,20,6.38,LOW
DP-0035,66.58,94.23,2.54,0.0,90.62,75.34,1,0,11.26,318.04,93.08,31,5.71,LOW
DP-0036,43.02,47.92,4.28,13.1,56.78,40.94,9,1,9.04,223.66,94.09,9,3.7,HIGH
DP-0037,30.39,36.91,11.84,0.08,44.17,17.83,6,2,14.92,247.03,88.33,36,2.54,HIGH
DP-0038,57.58,43.79,0.05,11.92,54.12,38.47,3,0,10.28,265.93,82.63,7,3.47,MEDIUM
DP-0039,65.84,43.07,5.25,10.07,70.04,62.72,4,1,7.8,258.43,78.65,21,2.58,MEDIUM
DP-0040,50.53,55.41,1.49,0.0,41.0,47.86,4,0,0.0,252.62,80.87,46,3.28,LOW
DP-0041,64.12,52.32,5.39,14.74,56.78,63.03,4,0,3.8,305.04,95.39,20,4.98,LOW
DP-0042,49.5,65.39,0.0,9.64,75.13,31.31,8,1,15.76,334.43,84.4,21,5.87,MEDIUM
DP-0043,72.25,72.04,0.0,0.0,87.85,60.39,2,0,5.08,169.01,86.8,16,4.97,LOW
DP-0044,35.95,39.38,0.0,0.56,40.85,42.66,3,0,21.48,266.72,91.92,26,2.48,MEDIUM
DP-0045,89.55,100.0,0.0,5.3,89.68,68.26,1,0,10.19,254.15,91.53,95,5.92,LOW
DP-0046,52.62,57.95,2.52,0.0,43.12,40.81,1,0,5.02,156.98,87.47,39,4.34,LOW
DP-0047,42.65,44.52,0.0,4.01,67.79,52.49,6,0,10.27,139.87,100.0,32,3.75,MEDIUM
DP-0048,54.13,70.31,0.0,0.29,44.58,18.58,2,0,21.32,147.55,84.36,35,5.69,LOW
DP-0049,32.59,17.63,5.66,0.0,30.89,24.79,4,0,7.68,179.2,88.78,17,2.32,MEDIUM
DP-0050,34.78,25.75,0.0,11.06,52.63,17.23,5,0,17.09,238.86,84.9,28,4.0,MEDIUM
DP-0051,49.51,57.51,0.0,4.22,41.47,35.94,5,1,8.06,131.37,88.32,21,5.56,LOW
DP-0052,46.31,53.22,0.0,5.08,24.99,39.09,3,1,9.55,138.51,99.92,17,4.02,MEDIUM
DP-0053,86.21,96.23,9.45,0.0,81.87,100.0,1,0,10.4,216.84,82.95,22,6.83,LOW
DP-0054,88.85,82.99,0.62,0.0,86.66,90.85,3,0,13.6,205.06,81.16,10,5.73,LOW
DP-0055,83.27,76.23,5.27,1.74,85.22,75.1,2,0,13.41,142.24,90.12,17,6.32,LOW
DP-0056,52.96,51.49,1.81,0.0,61.78,50.75,3,0,6.66,267.4,84.66,30,5.81,LOW
DP-0057,67.45,48.14,16.13,5.6,38.62,63.78,3,0,14.95,265.41,89.09,39,4.31,MEDIUM
DP-0058,25.05,22.3,0.81,4.23,40.16,6.41,1,0,10.77,223.45,84.31,14,2.03,MEDIUM
DP-0059,54.52,65.93,4.84,11.31,59.65,52.27,2,1,5.83,133.01,73.28,56,5.14,MEDIUM
DP-0060,35.67,26.36,0.0,12.32,63.97,53.11,2,0,16.41,282.77,88.19,12,3.67,MEDIUM
DP-0061,57.24,72.56,3.2,1.64,58.64,58.95,4,2,6.94,110.98,70.82,53,4.43,MEDIUM
DP-0062,48.02,48.68,0.0,0.0,42.55,52.64,6,0,13.59,211.29,93.29,18,4.13,LOW
DP-0063,32.82,61.85,0.0,7.14,55.72,21.55,4,1,3.31,163.99,80.38,29,3.5,MEDIUM
DP-0064,38.53,46.93,14.26,10.73,38.45,40.66,5,1,10.62,227.3,84.44,22,3.63,HIGH
DP-0065,81.98,94.44,1.06,0.0,100.0,92.83,3,0,7.16,220.32,90.93,36,5.43,LOW
DP-0066,36.23,39.21,9.78,9.79,28.12,48.22,2,0,2.45,155.25,93.13,39,2.98,MEDIUM
DP-0067,75.48,62.95,0.98,5.25,71.63,76.5,5,0,15.29,152.0,88.79,27,4.86,LOW
DP-0068,81.88,100.0,0.0,0.58,85.48,100.0,2,0,1.03,206.34,81.05,27,8.0,LOW
DP-0069,43.53,50.68,5.89,2.41,28.19,57.34,4,0,6.01,212.11,89.97,58,4.69,LOW
DP-0070,29.5,35.53,8.67,5.59,34.46,44.57,3,0,7.04,281.19,79.97,51,3.11,HIGH
DP-0071,33.67,26.89,13.18,5.7,12.99,3.93,7,3,13.29,245.42,70.06,36,2.89,HIGH
DP-0072,62.26,46.64,14.76,4.93,83.71,51.09,5,0,9.86,161.58,83.0,26,1.99,MEDIUM
DP-0073,23.83,17.71,0.0,2.55,36.99,16.78,3,0,11.11,188.73,89.81,29,1.93,MEDIUM
DP-0074,51.81,50.13,6.93,3.03,58.49,46.51,5,0,16.26,254.81,92.58,34,3.71,MEDIUM
DP-0075,77.72,86.09,3.17,3.05,67.48,64.2,3,0,2.97,80.0,96.15,30,6.2,LOW
DP-0076,61.59,56.33,0.0,5.76,49.96,63.68,7,1,5.78,123.27,84.88,3,2.78,MEDIUM
DP-0077,71.65,55.52,0.65,9.05,74.45,67.27,2,0,5.6,307.31,80.78,41,4.64,LOW
DP-0078,34.68,28.71,0.0,14.35,54.44,31.3,2,0,9.04,274.49,80.44,25,2.11,MEDIUM
DP-0079,78.85,78.43,0.0,3.14,86.05,84.43,8,0,0.0,172.57,92.63,45,5.3,LOW
DP-0080,38.6,41.11,9.41,2.68,49.56,60.6,3,1,7.32,99.9,76.82,34,3.64,MEDIUM
DP-0081,65.88,66.79,1.66,0.0,77.28,56.8,1,0,15.74,275.5,90.96,21,3.93,LOW
DP-0082,46.67,42.28,0.0,0.82,39.59,53.14,11,0,5.84,117.27,93.79,11,3.83,HIGH
DP-0083,70.46,73.7,10.89,0.0,83.74,64.59,3,0,0.0,164.13,87.05,28,4.02,LOW
DP-0084,48.8,73.32,9.13,7.59,33.28,54.25,2,0,9.39,345.31,88.56,4,4.64,LOW
DP-0085,74.47,70.53,9.96,11.0,83.74,63.25,3,0,0.21,167.73,76.41,14,4.16,LOW
DP-0086,53.2,26.25,0.0,2.09,57.83,32.67,1,0,11.09,196.57,88.25,36,3.54,LOW
DP-0087,43.42,31.78,0.0,0.0,37.71,42.53,8,0,18.94,217.1,100.0,13,2.02,MEDIUM
DP-0088,59.82,68.41,0.0,0.0,43.54,69.63,5,2,17.32,240.72,69.26,29,5.91,MEDIUM
DP-0089,85.0,89.69,0.0,5.82,69.62,37.88,1,1,8.02,160.32,73.7,25,5.65,MEDIUM
DP-0090,50.84,41.66,4.49,10.72,44.48,74.66,1,0,0.59,296.8,79.61,26,3.27,MEDIUM
DP-0091,69.35,58.0,5.42,8.99,74.58,43.57,2,0,10.93,228.9,76.32,34,4.34,LOW
DP-0092,80.96,84.09,3.45,5.4,68.86,78.57,1,0,2.88,172.27,88.75,11,6.33,LOW
DP-0093,51.28,40.88,8.0,12.72,48.75,42.93,6,1,15.01,299.41,78.87,36,4.43,MEDIUM
DP-0094,45.97,37.38,8.13,13.91,62.86,35.78,3,1,5.9,178.13,83.6,30,3.23,MEDIUM
DP-0095,37.52,35.54,0.46,5.72,50.25,45.91,6,1,19.16,171.77,78.74,21,3.81,MEDIUM
DP-0096,70.41,65.38,6.51,16.59,79.99,71.77,4,0,8.36,187.75,83.9,50,5.54,LOW
DP-0097,84.92,90.24,0.9,8.7,83.87,70.2,0,0,0.0,196.25,83.26,20,5.55,LOW
DP-0098,73.01,74.56,5.47,0.0,87.09,56.27,1,0,11.77,133.09,84.77,29,4.93,LOW
DP-0099,46.89,50.3,7.7,5.51,39.44,28.94,2,0,14.74,228.86,100.0,16,4.84,MEDIUM
DP-0100,84.86,90.31,5.91,0.0,100.0,71.22,3,0,8.01,89.11,86.86,37,5.68,LOW
DP-0101,91.66,71.75,4.81,1.43,86.56,85.08,2,0,4.04,113.58,83.72,25,4.12,LOW
DP-0102,87.73,91.79,4.77,0.0,87.7,95.96,3,1,13.69,248.34,81.54,40,5.88,LOW
DP-0103,59.76,47.53,1.72,5.68,58.2,55.0,7,1,0.37,170.25,83.61,20,4.75,MEDIUM
DP-0104,97.64,100.0,0.0,0.0,100.0,100.0,5,0,2.28,187.23,95.54,31,7.85,LOW
DP-0105,47.36,64.47,1.75,10.73,44.38,39.46,4,2,11.85,257.52,88.69,26,4.94,MEDIUM
DP-0106,64.47,64.37,0.0,10.93,36.35,58.45,4,1,0.0,106.44,86.6,18,4.78,MEDIUM
DP-0107,55.79,61.71,4.07,12.97,46.65,79.95,3,0,12.29,287.88,78.18,16,5.21,LOW
DP-0108,28.11,11.1,3.66,1.95,8.52,41.58,3,1,21.51,157.75,80.65,36,2.05,HIGH
DP-0109,92.51,92.0,0.0,0.0,86.63,100.0,6,0,2.47,186.9,79.79,30,7.18,LOW
DP-0110,47.67,33.47,0.22,2.58,52.1,57.5,6,1,1.66,80.0,71.64,22,2.87,HIGH
DP-0111,69.14,66.48,0.0,9.65,82.93,78.86,2,0,10.31,80.0,89.13,17,4.98,LOW
DP-0112,43.37,45.2,4.93,0.0,42.77,59.25,4,2,6.63,159.02,86.69,24,3.46,MEDIUM
DP-0113,88.45,49.95,3.64,5.16,98.67,97.87,1,0,10.76,231.99,82.58,22,4.01,LOW
DP-0114,32.53,23.15,5.34,8.53,34.64,20.13,4,1,21.08,253.18,69.33,40,2.78,HIGH
DP-0115,79.73,92.22,7.32,0.0,92.53,91.83,1,0,0.0,161.01,79.25,31,5.96,LOW
DP-0116,68.51,64.45,0.0,8.78,71.79,69.05,4,0,10.02,229.48,77.17,31,4.59,LOW
DP-0117,80.96,70.54,0.0,0.0,92.42,81.68,1,0,6.03,146.86,87.68,18,5.97,LOW
DP-0118,45.33,53.17,4.69,12.2,55.88,52.21,2,0,10.59,80.0,85.78,15,4.73,LOW
DP-0119,25.54,24.78,8.04,12.32,22.02,18.4,10,0,6.3,161.85,90.71,46,2.0,HIGH
DP-0120,59.56,53.72,6.52,3.99,49.41,51.99,8,0,12.38,167.97,70.31,16,4.75,HIGH
DP-0121,92.36,100.0,6.23,3.53,90.82,96.95,2,0,0.82,269.61,86.02,28,7.48,LOW
DP-0122,46.15,48.59,2.61,12.34,10.65,30.62,1,1,0.0,155.61,82.21,12,4.8,MEDIUM
DP-0123,49.27,54.77,0.0,6.17,46.32,35.79,5,0,12.71,264.29,81.8,29,4.41,MEDIUM
DP-0124,58.75,70.4,2.49,5.6,57.18,32.34,0,0,17.1,181.9,90.77,66,5.83,LOW
DP-0125,57.79,53.03,0.0,5.87,42.75,52.33,3,1,2.74,291.78,81.43,15,4.33,MEDIUM
DP-0126,79.76,76.09,0.0,7.18,80.22,67.47,3,0,0.0,97.8,84.89,64,5.58,LOW
DP-0127,49.74,43.43,18.14,5.01,48.1,79.01,7,0,23.47,238.78,85.28,4,2.5,MEDIUM
DP-0128,72.31,59.75,0.0,0.52,62.26,85.99,3,1,5.51,256.63,85.4,54,4.92,LOW
DP-0129,77.21,62.66,0.0,7.73,55.75,95.85,3,0,9.38,245.23,91.09,11,5.06,LOW
DP-0130,50.24,64.96,4.19,5.82,50.62,54.76,6,2,13.27,242.72,74.5,36,5.25,HIGH
DP-0131,89.95,96.68,0.0,0.87,100.0,100.0,1,0,7.18,194.42,95.06,6,6.13,LOW
DP-0132,76.14,85.79,2.53,0.0,100.0,95.23,3,0,15.76,296.93,79.47,29,6.15,MEDIUM
DP-0133,53.68,45.67,0.0,8.41,42.61,54.89,3,0,11.79,150.16,88.61,28,4.56,LOW
DP-0134,81.13,73.99,0.0,4.3,49.88,77.84,1,0,5.01,196.97,82.64,23,4.95,LOW
DP-0135,81.46,81.51,0.0,2.98,84.28,84.97,6,0,7.8,349.18,83.56,19,7.66,LOW
DP-0136,39.14,50.79,0.0,0.0,21.81,38.97,5,0,0.43,259.55,81.46,30,5.03,MEDIUM
DP-0137,73.3,82.55,12.15,2.88,78.67,97.07,8,1,13.61,274.99,83.39,23,5.55,MEDIUM
DP-0138,84.04,100.0,14.04,4.26,68.23,65.48,5,1,11.2,349.57,75.94,31,6.46,LOW
DP-0139,77.38,74.48,0.85,1.4,69.48,52.12,2,0,5.99,127.93,73.75,17,5.18,LOW
DP-0140,42.27,63.1,2.57,3.78,54.86,61.65,1,0,3.09,291.73,84.66,20,4.56,LOW
DP-0141,67.36,76.54,0.0,8.31,74.32,72.59,3,0,8.88,263.25,88.13,15,4.96,LOW
DP-0142,58.22,50.59,0.0,8.52,72.89,41.33,5,0,6.79,207.65,92.32,32,4.48,LOW
DP-0143,62.37,64.1,0.0,0.73,61.09,58.45,9,3,4.19,205.51,83.38,26,5.8,MEDIUM
DP-0144,49.89,55.15,0.0,7.57,56.96,30.56,2,0,3.43,208.01,79.56,31,4.25,LOW
DP-0145,65.01,49.99,6.36,12.19,62.94,93.4,5,0,10.73,194.28,92.03,54,4.85,LOW
DP-0146,82.03,73.63,0.0,10.21,74.42,85.18,5,0,3.51,226.51,88.27,87,5.82,LOW
DP-0147,49.73,35.67,0.59,0.0,57.65,41.5,3,0,4.23,221.75,89.36,22,3.33,LOW
DP-0148,65.54,80.48,10.36,7.3,84.37,58.66,3,1,15.1,81.46,73.39,56,5.25,MEDIUM
DP-0149,87.84,94.17,12.55,4.0,85.95,78.75,2,0,5.75,204.35,97.75,21,6.8,LOW
DP-0150,13.5,14.44,9.37,6.9,14.79,36.2,7,1,3.53,181.1,75.07,20,2.7,HIGH
DP-0151,67.69,47.67,4.01,12.59,68.43,73.12,2,1,5.95,187.73,92.86,47,3.2,LOW
DP-0152,25.1,18.4,3.85,6.25,24.79,23.09,4,0,15.31,182.8,91.67,77,1.12,MEDIUM
DP-0153,38.56,47.29,7.71,1.91,14.7,27.43,4,0,0.0,192.0,79.3,39,5.06,MEDIUM
DP-0154,40.05,31.9,10.93,14.55,36.02,17.85,5,0,14.05,143.42,78.3,47,2.9,HIGH
DP-0155,53.67,57.48,0.0,2.0,65.15,33.33,6,1,8.22,80.0,83.49,51,4.81,LOW
DP-0156,67.36,62.84,6.82,4.38,72.33,49.08,5,0,8.1,109.73,83.46,34,3.73,LOW
DP-0157,72.11,67.38,6.04,6.21,60.69,70.85,3,0,14.5,227.62,83.37,19,4.39,LOW
DP-0158,41.04,21.1,0.0,4.24,36.42,27.92,8,1,15.02,211.0,90.92,19,3.43,MEDIUM
DP-0159,82.82,88.91,9.91,6.36,99.15,97.83,0,0,18.91,252.4,85.05,7,5.9,LOW
DP-0160,66.82,65.3,5.09,0.0,87.73,68.78,2,0,11.23,189.75,94.59,17,4.09,LOW
DP-0161,48.86,73.57,0.0,7.63,35.57,53.27,1,0,9.73,232.91,95.21,14,5.39,LOW
DP-0162,92.19,100.0,2.72,11.57,100.0,88.45,5,0,1.48,291.07,84.25,18,6.8,LOW
DP-0163,77.99,83.73,0.0,0.0,97.72,69.47,3,0,3.64,208.86,81.81,49,6.8,LOW
DP-0164,51.38,33.85,10.22,8.49,51.12,49.83,6,1,18.52,204.67,75.24,18,2.76,HIGH
DP-0165,40.04,31.21,2.51,3.5,51.61,28.18,4,0,7.44,249.82,94.44,11,3.14,MEDIUM
DP-0166,24.58,28.55,0.0,13.93,33.09,22.92,7,0,11.83,229.24,92.69,12,3.18,MEDIUM
DP-0167,49.18,52.53,7.26,0.0,67.19,54.22,2,0,14.6,138.57,98.41,62,3.68,LOW
DP-0168,66.67,62.8,11.57,0.0,86.29,47.51,5,1,16.48,83.03,70.28,47,5.19,MEDIUM
DP-0169,79.03,75.63,7.51,0.0,92.08,100.0,3,0,11.06,238.04,71.82,61,4.27,LOW
DP-0170,88.21,90.84,0.6,8.89,94.76,79.07,1,0,1.89,186.23,98.47,9,5.88,LOW
DP-0171,89.12,97.06,6.16,0.0,84.52,78.15,0,0,0.0,179.74,84.17,5,6.51,LOW
DP-0172,61.69,57.98,5.17,3.26,68.66,39.26,2,0,16.4,337.66,90.57,69,4.99,LOW
DP-0173,74.89,84.31,10.12,6.2,58.39,61.79,4,0,12.55,128.07,71.27,22,5.33,LOW
DP-0174,40.63,26.02,0.78,14.13,46.82,21.74,4,0,16.37,231.5,89.27,14,4.14,LOW
DP-0175,78.74,79.5,1.4,0.0,87.58,100.0,1,0,0.0,184.61,79.38,36,5.21,LOW
DP-0176,50.52,43.66,7.39,13.52,62.0,51.48,6,1,11.35,200.27,86.7,39,3.71,MEDIUM
DP-0177,39.23,22.2,3.5,4.43,34.06,39.32,3,0,7.68,197.59,82.75,26,3.07,MEDIUM
DP-0178,63.93,50.96,0.0,4.03,92.43,61.5,7,0,7.77,214.29,83.06,56,4.51,LOW
DP-0179,53.03,64.25,0.0,0.0,46.54,71.62,5,1,7.69,189.77,82.94,24,4.63,LOW
DP-0180,71.58,79.02,0.0,4.23,55.62,84.18,3,0,6.64,225.94,85.56,64,5.13,LOW
DP-0181,46.21,67.97,3.4,10.1,21.47,46.78,5,1,9.38,218.55,77.02,66,4.05,HIGH
DP-0182,71.45,84.92,0.0,7.51,74.46,55.93,4,0,0.0,162.67,80.22,50,4.7,LOW
DP-0183,39.17,52.31,6.66,9.08,33.29,41.53,1,0,17.32,233.27,77.17,33,5.8,MEDIUM
DP-0184,34.34,45.06,7.77,5.54,59.72,49.63,7,0,4.5,142.19,86.01,23,3.82,MEDIUM
